UniqueID,Deep-Lying_Forward,Target_Forward,Poacher,Complete_Forward,Advanced_Forward,Pressing_Forward,Trequartista
35818,19.05910355,12.42356771,10.75821022,16.66595809,18.36562217,10.84339297,11.8841453
1527,14.18508224,14.3597333,15.76224685,13.97773774,12.40460089,16.52178715,12.78881184
13018,14.672762,18.36672879,11.52443931,15.08317014,14.601154,13.9371138,11.81463196
36128,12.54278339,14.57164568,2.300869471,36.10444201,18.41866769,2.724593458,13.3369983
26047,14.54883655,17.25071762,10.40892183,10.83134568,14.04230002,18.34809021,14.56978808
25652,16.61072954,13.00442589,13.17797795,9.296241771,14.16363715,15.40559744,18.34139027
24959,12.76141497,14.82564209,2.340975619,35.7829765,17.94743162,2.772085482,13.56947373
39299,17.25191424,10.86802987,14.81835763,17.58275945,17.49019252,9.022654071,12.96609221
3106,14.04158879,12.61655518,14.83374766,20.17730676,15.10359721,10.42980168,12.79740273
38805,12.45972011,12.70633309,18.59619712,19.82585336,16.19425886,7.635353686,12.58228378
2675,12.71975122,13.14199846,15.74350531,21.05686543,16.36311066,8.634394052,12.34037487
6910,15.85316368,19.6327163,15.76565605,14.07377785,13.17188273,11.14996465,10.35283874
7395,15.17583057,18.02443005,13.18742139,18.17388677,14.15592073,7.907922189,13.3745883
6516,14.38276523,17.28349279,12.80721649,15.32076707,15.11387546,11.62657957,13.46530339
19692,15.06300418,13.13055316,12.52512749,16.89162511,13.40191117,15.58378012,13.40399878
27837,14.86032977,18.06214775,12.53610959,10.16961087,10.49668135,18.65069733,15.22442335
27386,12.89331007,20.89256199,15.36784238,12.26364997,15.85566859,14.43164027,8.29532672
16386,11.77309017,15.38865027,16.0135987,11.67781087,14.16287234,18.14324096,12.84073669
16792,11.77309017,15.38865027,16.0135987,11.67781087,14.16287234,18.14324096,12.84073669
30662,14.14052347,14.6627209,14.10076763,12.49310569,15.98011034,13.50764215,15.11512983
29958,14.32212964,14.70034583,13.86411153,13.2057711,15.00250049,13.25289103,15.65225038
10150,18.77850812,13.245118,15.34230555,16.2166733,12.04154922,12.91982948,11.45601634
37788,16.57126501,10.58556494,19.72121924,14.72449179,14.4791591,11.71528463,12.20301528
7976,15.89285806,10.88359296,19.9326856,15.39372609,14.04943127,11.96876105,11.87894496
26936,17.77991726,21.30481105,12.91502832,14.99007813,15.46452089,9.127328103,8.418316245
28791,18.85600265,21.47684538,15.20504097,16.35402038,16.40846049,5.839011506,5.860618631
27913,16.39418335,14.10020004,10.26179012,16.17076878,16.31335591,11.84889539,14.91080639
28334,16.39418335,14.10020004,10.26179012,16.17076878,16.31335591,11.84889539,14.91080639
28505,14.30148536,16.04764283,11.2452936,13.13140652,13.07884994,17.82271919,14.37260256
28140,11.9603881,13.89504485,2.194033892,37.03759785,19.59712659,2.598083231,12.71772548
11737,15.09997044,12.12324198,14.50918988,16.0491105,15.90559913,12.96917056,13.34371751
12123,15.09997044,12.12324198,14.50918988,16.0491105,15.90559913,12.96917056,13.34371751
36876,13.87443324,14.44656355,13.28906137,11.92163651,13.56761767,16.41608002,16.48460763
5373,16.22431563,12.85593609,12.04020192,14.24593027,14.84555628,13.79032298,15.99773683
5828,17.07693786,13.75328094,9.802667596,13.66070823,15.27954397,14.09827456,16.32858685
11596,18.06262652,11.5432936,11.9539904,17.26839613,20.2677024,9.350576839,11.55341411
12504,17.17600744,11.44547794,12.19108737,15.11980062,18.51875694,9.604239872,15.94462982
36686,13.27242702,12.73684401,17.5568795,15.49964987,14.09444796,12.61295787,14.22679377
6909,15.97172234,17.8607006,17.76873684,18.95784016,18.33552869,6.489752123,4.615719253
25359,18.97018884,14.80595611,9.384750966,16.94683272,14.41181695,11.13524928,14.34520513
25054,16.00660873,9.206517358,8.743716286,18.97948444,19.53045983,11.75286505,15.78034832
