UniqueID,Wide_Centre-Back_(LCB),No_Nonsense_Centre_Back,Ball_Playing_Defender,Wide_Centre_Back_(RCB),Libero
25983,18.99359045,24.61537361,13.79928865,18.21753002,24.37421727
28906,20.53343156,25.68139729,13.80084802,19.77035682,20.21396632
34450,18.7277382,22.7322605,13.8083986,20.23519874,24.49640396
10533,18.71317281,24.64931923,13.8091266,21.96691927,20.86146209
10469,18.42709375,23.1071879,13.82901564,18.76821057,25.86849214
4600,20.62652312,25.04233744,13.83016143,19.01251646,21.48846154
33770,15.61179,27.11490186,13.8414199,17.55543151,25.87645674
34679,22.50777872,17.0973758,13.84708105,20.80195018,25.74581425
27612,20.68904296,23.88088325,13.8671061,18.53054773,23.03241996
25436,20.13823727,26.42250014,13.87049947,19.45143865,20.11732446
34634,19.14486458,21.27330735,13.87817917,21.95358929,23.75005962
12914,22.87119185,22.47183609,13.87839487,23.90687386,16.87170334
25088,19.54562183,21.63522007,13.88112421,21.42411609,23.51391781
16823,18.45383929,24.52685287,13.90111458,20.38171924,22.73647402
2295,19.29088066,23.37482713,13.90786262,22.50619445,20.92023514
24691,22.65485477,23.0916468,13.91081203,19.0633102,21.27937621
21390,19.7020772,23.47242521,13.92441575,21.34414846,21.55693338
33203,22.60422864,18.35508345,13.92657737,20.29684214,24.81726839
18770,23.25628742,24.98813667,13.9296828,20.24499095,17.58090216
34290,18.30838912,28.8245338,13.93309993,22.54452114,16.38945601
25450,16.41545226,31.25832321,13.93545945,20.46364748,17.9271176
33488,18.78547666,22.63017276,13.94078518,18.04146311,26.60210229
37055,18.52655448,29.00073242,13.95225979,26.83851133,11.68194198
27588,20.75976747,29.48923506,13.9534274,22.12945202,13.66811805
10091,24.53199815,17.19060235,13.95417326,18.9633993,25.35982694
2260,22.4960559,21.36525942,13.95873514,20.64533464,21.5346149
34759,16.72162115,27.72395376,13.96467399,18.03777063,23.55198047
25885,22.86885395,22.25813219,13.96835215,18.46685759,22.43780411
33566,21.22818893,21.38907157,13.97507866,21.22180109,22.18585976
10024,22.14300051,27.71202553,13.98802406,21.36281681,14.79413309
34876,15.03762262,13.81886106,32.82969149,18.11638471,20.19744011
5033,21.50271346,20.86334425,13.99240639,21.8115295,21.8300064
6505,16.96034726,34.12136035,13.99585118,24.41035184,10.51208938
6907,16.96034726,34.12136035,13.99585118,24.41035184,10.51208938
10560,17.12147869,26.8580115,14.00603162,18.18967297,23.82480522
1963,22.41130904,25.03911806,14.00697048,21.95287571,16.58972672
14567,22.95599857,23.67053567,14.02373536,23.68988022,15.65985018
7831,22.51537593,20.66418681,14.02651231,18.82718309,23.96674186
9365,19.60789232,22.89419572,14.03524273,23.05763993,20.40502931
33989,20.65568353,22.88639296,14.03636821,18.24857099,24.17298431
22833,23.17769328,21.60952393,14.03679845,19.6372686,21.53871574
23319,23.17769328,21.60952393,14.03679845,19.6372686,21.53871574
626,14.65130875,14.41652444,32.72284509,12.49705997,25.71226175
22935,17.55963696,29.09175041,14.04244342,18.61806603,20.68810319
23400,17.55963696,29.09175041,14.04244342,18.61806603,20.68810319
10584,20.05133493,24.19332014,14.04721596,22.52374185,19.18438712
24732,20.28076409,20.94718599,14.05677238,22.03331727,22.68196027
15437,21.6708074,23.5860443,14.06006587,20.20218134,20.48090109
17405,18.08852215,25.40059574,14.06499695,24.07591864,18.36996652
18713,22.50824059,24.22305931,14.06603564,20.5087604,18.69390405
2119,19.04446556,23.8428538,14.06660042,22.98865232,20.0574279
2561,19.95073277,21.98327383,14.07223989,21.98225167,22.01150183
10434,18.04005681,27.22625707,14.07254907,25.27716962,15.38396744
1232,19.0918685,23.37751102,14.0794185,21.92631847,21.52488351
33248,19.05035602,23.2804869,14.08198755,21.12043365,22.46673588
22019,21.87285518,22.4143407,14.084947,21.42504671,20.20281041
33286,19.93243788,22.8936633,14.08525571,25.13039196,17.95825115
25456,20.52582695,21.3788278,14.09951558,21.17345013,22.82237954
2148,16.56309983,27.10064461,14.10003562,19.79516557,22.44105437
37235,17.77322927,27.51204868,14.10086333,18.92348277,21.69037595
23931,24.60831554,24.46272564,14.1093093,20.1262776,16.69337192
24879,17.50109096,29.40217436,14.11490684,18.27966444,20.7021634
25238,17.50109096,29.40217436,14.11490684,18.27966444,20.7021634
20747,20.32096592,26.63425328,14.11525361,20.82677887,18.10274831
