UniqueID,Shadow_Striker,Advanced _Playmaker,Enganche,Trequartista
39394,25.75728986,25.39517833,26.7541938,22.09333801
10687,26.10341947,22.66267273,27.46929687,23.76461094
11163,26.093729,22.68497091,27.49632437,23.72497572
19121,23.65291886,22.9019167,17.37407629,36.07108814
2701,24.67181704,26.28881553,28.64634161,20.39302583
18599,25.76379886,25.28447348,28.29733406,20.65439359
11547,27.24526236,28.01355758,16.1740763,28.56710376
35353,13.74118601,27.17575911,30.51173088,28.571324
15856,20.4017365,29.49562678,32.73598197,17.36665474
14685,32.82012195,19.26376375,21.76848106,26.14763324
15014,32.82012195,19.26376375,21.76848106,26.14763324
22482,26.79674351,23.9881778,30.61489143,18.60018726
3073,18.51811248,25.48472849,28.26765834,27.72950069
13432,4.318550177,40.21196428,36.89308743,18.57639811
13542,20.8037688,25.81935743,25.96286601,27.41400776
17204,18.74017479,23.64574666,26.45641591,31.15766263
17723,18.74017479,23.64574666,26.45641591,31.15766263
12154,15.79844072,28.87935004,35.86371622,19.45849301
31981,22.72580888,32.62475673,12.20567379,32.4437606
